sample	location	ecotype
MON014	MON	dune
MON069	MON	dune
MON106	MON	dune
MON151	MON	dune
MON220	MON	dune
MON263	MON	non-dune
MON308	MON	non-dune
MON365	MON	non-dune
MON401	MON	non-dune
MON459	MON	non-dune
MON520	MON	dune
MON564	MON	dune
MON606	MON	non-dune
MON658	MON	non-dune
MON713	MON	non-dune
MON768	MON	non-dune
MON818	MON	non-dune
MON862	MON	dune
GSD983	GSD	non-dune
GSD1009	GSD	dune
GSD1039	GSD	dune
GSD1085	GSD	non-dune
GSD1139	GSD	dune
GSD1169	GSD	non-dune
GSD1184	GSD	dune
GSD1258	GSD	dune
GSD1276	GSD	dune
GSD1329	GSD	dune
GSD1375	GSD	non-dune
GSD1503	GSD	non-dune
GSD1573	GSD	dune
GSD1707	GSD	dune
GSD1732	GSD	dune
GSD1795	GSD	non-dune
GSD2008	GSD	non-dune
GSD2031	GSD	non-dune
GSD2067	GSD	dune
GSD2252	GSD	non-dune
PET0381	GSD	non-dune
PET0383	GSD	non-dune
PET0384	GSD	non-dune
PET0387	GSD	non-dune
PET0382	GSD	non-dune
PET0385	GSD	non-dune
PET0386	GSD	non-dune
PET0388	GSD	non-dune
PET0759	MON	dune
PET0762	MON	dune
PET0785	MON	dune
PET0766	MON	dune
PET0778	MON	dune
PET0780N	MON	dune
PET0781	MON	dune
PET0758	MON	dune
PET0763	MON	dune
PET0765	MON	dune
PET0760	MON	dune
PET0761	MON	dune
PET0764	MON	dune
PET0767	MON	dune
PET0779N	MON	dune
PET0783	MON	dune
PET0784	MON	dune
PET0786	MON	dune
PET0787	MON	dune
PET0748	MON	non-dune
PET0754	MON	non-dune
PET0774N	MON	non-dune
PET0756N	MON	non-dune
PET0768	MON	non-dune
PET0749N	MON	non-dune
PET0750	MON	non-dune
PET0751	MON	non-dune
PET0752	MON	non-dune
PET0753	MON	non-dune
PET0755N	MON	non-dune
PET0757	MON	non-dune
PET0769	MON	non-dune
PET0770	MON	non-dune
PET0775	MON	non-dune
PET0776	MON	non-dune
PET0777	MON	non-dune
