Population ID	Latitude	Longitude	Elevation	MAT	MWMT	MCMT	TD	MAP	MSP	AHM	SHM	DD_0	DD5	DD_18	DD18	NFFD	bFFP	eFFP	FFP	EMT	EXT	Eref	CMD	RH	OM	P1	P2	BICARB	K	MG	CA	NA	PH	CEC	PERCENT_K	PERCENT_MG	PERCENT_CA	PERCENT_NA	SOL_SALTS
ANN_01	39	-122	6	16	24.3	7.2	17.2	461	22	56.5	1120.9	28	4074	1484	743	340	50	340	290	-11.8	43.5	1331	1029	56	4.1	45	91	0	342	1288	2541	253	7	25.4	3.5	42.3	49.9	4.3	1
ANN_02	37	-121	295	15.7	24.9	7.4	17.4	220	17	116.8	1461.4	28	3964	1569	722	315	83	325	242	-16.1	43.8	1452	1231	50	0.4	7	60	9	182	594	3442	1257	8.5	28.1	1.7	17.6	61.3	19.4	3.4
ANN_03	36	-120	295	16.6	26.5	7.3	19.3	217	16	122.2	1672.4	28	4259	1481	934	328	68	330	263	-14	44.2	1452	1239	53	4	27	136	0	562	433	4155	249	8.1	26.9	5.4	13.4	77.2	4	0.5
ANN_04	35	-119	1,560	10.5	19.8	3.2	16.6	564	32	36.3	622.3	108	2292	2925	190	208	150	273	124	-26.1	41.2	1296	951	45	1.7	22	178	26	718	1135	5822	71	7.9	40.7	4.5	23.2	71.5	0.8	0.6
ANN_05	34	-116	-14	22.4	33	12.2	20.8	78	24	415.4	1404.4	7	6335	627	2204	349	42	343	301	-10	49	1801	1724	50	1	51	150	0	264	318	2435	574	7.7	18	3.8	14.7	67.6	13.9	2.4
ANN_06	34	-117	738	16.4	24.7	10	14.7	664	56	39.8	443	17	4182	1337	730	346	45	350	305	-8.7	43.7	1370	938	57	1.9	16	132	13	67	232	2892	75	7.6	16.9	1	11.4	85.7	1.9	0.3
ANN_07	39	-120	2,330	4.7	14.4	-2.9	17.3	1051	158	14	91.2	501	1084	4859	18	142	186	255	69	-33.1	33.8	724	416	55	1.1	8	115	0	69	83	773	172	7.5	5.5	3.2	12.6	70.6	13.6	0.1
ANN_08	39	-120	1,710	7.8	18.4	-0.8	19.2	634	106	28	172.9	273	1748	3815	101	167	165	256	91	-31.3	38.6	1021	710	48	1.3	19	135	16	447	937	6219	56	7.6	40.3	2.8	19.4	77.2	0.6	1.4
ANN_09	37	-118	1,270	13.5	24.9	3.3	21.7	120	24	196.1	1022.2	84	3323	2284	640	227	118	282	164	-28.2	44.5	1475	1354	40	2.7	14	53	10	324	90	2057	862	7.7	15.6	5.3	4.8	65.9	24	1.8
ANN_10	37	-118	1,205	14.3	26	3.9	22.1	133	27	183	979.9	70	3566	2113	758	249	113	292	179	-25.8	44.3	1460	1326	44	3	5	64	16	484	278	2925	211	8.3	19.1	6.5	12.1	76.6	4.8	0.4
ANN_11	35	-114	1,030	16.5	28.3	6.1	22.1	267	99	99.5	285.7	39	4278	1645	1094	305	89	318	229	-17.5	43.4	1425	1159	54	2.1	9	48	6	575	566	3571	72	8.4	24.4	6	19.3	73.4	1.3	0.3
ANN_12	35	-112	2,115	8.3	19.5	-1.8	21.3	536	223	34.2	87.6	301	1967	3675	152	170	161	270	108	-34.7	36.5	1104	670	45	2.2	23	106	0	265	632	3096	65	7.2	21.7	3.1	24.3	71.3	1.3	0.4
ANN_13	35	-112	1,005	16.4	28.1	5.8	22.3	328	158	80.3	178.4	42	4225	1684	1073	277	102	307	206	-21.9	43.1	1557	1229	47	1.8	3	35	12	210	488	3217	43	8	20.9	2.6	19.5	77	0.9	0.4
ANN_14	36	-111	1,410	13.2	26.3	0	26.3	158	70	146.6	376.1	157	3381	2533	767	240	113	295	182	-29	42.1	1319	1174	50	0.2	1	21	3	148	253	2658	507	9.3	18	2.1	11.7	74	12.2	0.3
ANN_15	35	-111	1,515	12.6	25.5	-0.5	26	201	106	112.4	241.5	175	3213	2648	676	228	120	293	173	-30.7	41.3	1334	1143	48	1.6	3	69	15	686	245	3771	57	8.1	22.9	7.7	8.9	82.3	1.1	0.4
ANN_16	35	-108	2,180	8.3	20.2	-3.1	23.2	327	170	55.9	118.4	366	2056	3726	193	172	154	271	117	-36.7	36.9	1067	808	45	1.2	6	56	6	446	527	7278	198	8.3	42.8	2.7	10.3	85	2	0.6
ANN_17	35	-108	2,425	8.4	19.3	-2	21.3	327	195	56.2	99.1	314	2008	3655	155	190	146	274	128	-32.7	35.9	1006	727	51	4.9	32	58	0	418	319	2925	36	6.7	18.5	5.8	14.4	79	0.8	0.4
ANN_18	36	-104	1,810	10.7	22.1	-0.5	22.7	391	288	52.9	76.9	207	2712	3019	381	202	128	282	154	-33.1	38.9	1200	816	47	2.6	1	23	13	454	214	4442	33	8	25.3	4.6	7	87.8	0.6	0.5
ANN_19	37	-104	2,090	8.9	20.1	-1.5	21.6	415	321	45.6	62.7	280	2226	3501	210	182	141	273	132	-35.1	37.3	1071	675	47	2.9	27	69	0	698	203	4154	19	7.7	24.3	7.4	7	85.3	0.3	0.6
ANN_20	38	-108	2,390	6.2	18.6	-5.3	23.8	406	176	40	105.3	578	1665	4380	100	166	154	263	109	-37.4	36.4	844	561	51	3.6	122	180	0	188	668	1842	124	7.7	15.8	3.1	35.2	58.3	3.4	0.4
ANN_21	39	-108	1,525	10.7	24.5	-3.9	28.5	257	110	80.4	223.1	341	2898	3194	523	220	117	285	167	-33.7	40.6	1121	896	52	2.2	19	41	24	478	666	4668	120	7.9	30.6	4	18.1	76.2	1.7	1
ANN_22	39	-108	1,460	11.1	25.2	-3.8	29	222	99	95.3	255.6	323	3032	3096	590	225	114	286	171	-33.2	41.2	1138	942	52	0.8	2	4	5	310	207	18920	551	7.8	99	0.8	1.7	95.1	2.4	3.8
ANN_23	41	-116	1,790	8.7	22.2	-2.6	24.8	291	106	64.3	209.3	345	2182	3681	297	202	142	279	137	-31.1	39.6	924	713	57	1.4	22	85	0	203	131	1667	332	8.5	11.4	4.6	9.6	73.1	12.7	0.4
ANN_24	39	-120	1,540	8.4	19.4	-1	20.4	479	80	38.5	240.9	264	1938	3630	145	178	159	263	104	-31.3	39.2	1050	801	48	2.5	23	104	0	187	233	2068	146	7.1	13.4	3.6	14.5	77.2	4.7	0.2
ANN_25	37	-114	480	18.4	31.3	6.5	24.8	153	57	185.9	553.2	33	4954	1426	1564	296	89	312	223	-20.1	48.8	1639	1486	46	0.2	1	17	5	153	163	2186	62	8.5	13	3	10.4	84.5	2.1	0.3
ANN_26	37	-114	875	16.3	29.3	4.2	25.1	203	65	129.5	449.6	59	4253	1822	1191	280	99	305	206	-22.8	45.4	1472	1269	50	0.6	25	71	7	451	754	3588	632	8.8	28.1	4.1	22.4	63.7	9.8	4
ANN_27	37	-113	1,660	10.7	22.9	-0.5	23.4	375	130	55.1	175.8	208	2614	3060	397	207	135	282	147	-31.3	40.2	1203	870	48	1.7	31	35	0	68	231	1933	46	8.2	12	1.5	16	80.8	1.7	0.2
ANN_28	38	-113	1,840	8.8	21.5	-2.7	24.2	314	137	59.8	157.6	341	2208	3613	273	182	144	271	127	-34.9	39.7	1048	800	47	1.7	24	122	0	800	158	1669	900	8.6	15.6	13.1	8.4	53.4	25.1	0.5
ANN_29	40	-112	1,465	9.8	24.1	-3.8	27.9	254	106	77.8	227.8	370	2570	3443	451	193	133	273	140	-34.9	41.7	1114	913	47	1	2	61	16	453	448	2347	224	8.3	17.6	6.6	21.2	66.7	5.5	0.4
ANN_30	40	-112	1,590	9	23.2	-4	27.3	288	117	66.1	198.1	405	2374	3634	370	188	139	272	133	-35.4	40.8	1061	834	48	0.9	23	118	13	547	213	2795	34	8.4	17.3	8.1	10.3	80.7	0.9	0.2
ANN_31	40	-112	1,380	10.3	24	-3	26.9	443	157	45.9	152.2	308	2670	3240	458	220	121	281	160	-31.2	41.5	1090	735	53	1.1	5	6	17	373	279	2540	70	8.1	16.3	5.9	14.3	77.9	1.9	0.4
ANN_32	41	-112	1,295	9.6	23.8	-4.3	28.1	518	175	37.8	136	398	2617	3487	442	215	121	280	159	-32.5	41	992	631	55	4.2	34	164	0	846	500	2337	1475	7.9	24.4	8.9	17.1	47.7	26.3	2.8
ANN_33	41	-112	1,295	10.9	25.3	-2.1	27.5	365	141	57.4	179.4	270	2818	3129	565	240	109	290	181	-28.5	41.2	999	682	61	1.3	1	2	8	174	180	2152	97	8.4	13.1	3.4	11.5	81.9	3.2	0.2
ANN_34	41	-112	1,295	10.8	25.2	-2.1	27.2	434	162	48	155.4	269	2778	3157	550	238	111	290	179	-28.6	41.1	994	624	60	4.7	15	100	14	717	345	3253	264	7.9	22.1	8.3	13	73.5	5.2	0.9
