sample	clade
298C	Clade 2
ANN0818	Clade 2
ANN1159	Clade 2
ANN1155	Clade 2
PET0438	Clade 2
ANN1152	Clade 2
PET0606	Clade 2
ANN1160	Clade 2
ANN1162	Clade 2
ANN1168	Clade 2
PET0605	Clade 2
ANN1164	Clade 2
PET0603	Clade 2
PET0600	Clade 2
PET0602	Clade 2
PET0604	Clade 2
ANN1166	Clade 2
ANN1169	Clade 2
ANN1055	Clade 2
ANN1060	Clade 2
ANN1236	Clade 2
DEB_896	Clade 2
PET0351	Clade 2
PET0368	Clade 2
ANN1151	Clade 2
HT172_SK1W-Q	Clade 2
PET0391N	Clade 2
PET0398	Clade 2
PET0394	Clade 2
PET0399	Clade 2
HT013_SD2W-18	Clade 2
HT45_ND1W-36	Clade 2
PET0393	Clade 2
QPC1_SK1W-37	Clade 2
HT308_SD2W-27	Clade 2
ANN0814	Clade 2
ANN0819	Clade 2
ANN1119	Clade 2
ANN0823	Clade 2
ANN0825	Clade 2
PET0437	Clade 2
PET0462	Clade 2
PET0471	Clade 2
PET0470	Clade 2
PET0467	Clade 2
PET0473N	Clade 2
PET0469	Clade 2
ANN1047	Clade 2
ANN1071	Clade 2
ANN1077	Clade 2
ANN1080	Clade 2
ANN1076	Clade 2
ANN1079	Clade 2
ANN1074	Clade 2
ANN1072	Clade 2
ANN1078	Clade 2
ANN1075	Clade 2
ANN1073	Clade 2
DEB_391	Clade 2
ANN0901	Clade 2
ANN0907	Clade 2
ANN0924	Clade 2
ANN0902	Clade 2
ANN0904	Clade 2
ANN0909	Clade 2
ANN0905	Clade 2
ANN0906	Clade 2
ANN0903	Clade 2
ANN0910	Clade 2
ANN0908	Clade 2
ANN1336	Clade 2
ANN1339	Clade 2
ANN1419	Clade 2
ANN0803	Clade 2
ANN1025	Clade 2
ANN0809	Clade 2
ANN0811	Clade 2
ANN0885	Clade 2
ANN0813	Clade 2
ANN0878	Clade 2
ANN0812	Clade 2
ANN1038	Clade 2
ANN0899	Clade 2
ANN0816	Clade 2
ANN0900	Clade 2
ANN0817	Clade 2
ANN0894	Clade 2
ANN1032	Clade 2
ANN1039	Clade 2
ANN0815	Clade 2
ANN0820	Clade 2
ANN0873	Clade 2
ANN0898	Clade 2
ANN1021	Clade 2
ANN1027	Clade 2
ANN1030	Clade 2
ANN1023	Clade 2
ANN1022	Clade 2
ANN1024	Clade 2
ANN1029	Clade 2
ANN1026	Clade 2
ANN1028	Clade 2
ANN0861	Clade 2
ANN0865	Clade 2
ANN0872	Clade 2
ANN0874	Clade 2
