sample	clade_1_alleles	clade_2_alleles	total_genotyped_1	total_genotyped_2	clade	species	pop	taxon	alt	lat	long
664647_GIG	0	0	24	16	Ancestral clade	Gig	664647_GIG	giganteus	NA	41.5908333	-83.7619444
ANN0921	0	0	24	16	Ancestral clade	Ann	ANN_13	annuus	1005	34.75056	-112.01697
ANN0925	0	0	24	16	Ancestral clade	Ann	ANN_13	annuus	1005	34.75056	-112.01697
ANN0926	0	0	24	16	Ancestral clade	Ann	ANN_13	annuus	1005	34.75056	-112.01697
ANN1019	0	0.0625	24	16	Ancestral clade	Ann	ANN_22	annuus	1460	39.00672	-108.46384
ANN1020	0	0.0625	24	16	Ancestral clade	Ann	ANN_22	annuus	1460	39.00672	-108.46384
ANN1048	0	0	24	16	Ancestral clade	Ann	ANN_25	annuus	480	36.79654	-114.09841
ANN1126	0	0.0625	24	16	Ancestral clade	Ann	ANN_33	annuus	1295	40.77115	-112.15004
ANN1322	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
ANN1323	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
ANN1325	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
ANN1326	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
ANN1327	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
ANN1328	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
ANN1329	0	0	24	16	Ancestral clade	Ann	ANN_53	annuus	880	31.03955	-103.13683
DB118	0.08333333333333333	0	24	16	Ancestral clade	Gro	NA	NA	NA	NA	NA
DB287	0	0	24	16	Ancestral clade	Gig	NA	NA	NA	NA	NA
DB37	0	0	24	16	Ancestral clade	Gig	NA	NA	NA	NA	NA
DB96	0	0	24	16	Ancestral clade	Gig	NA	NA	NA	NA	NA
DEC_1895	0	0	24	16	Ancestral clade	Dec	DEC_1895	decapetalus	NA	36	-77
DIV_1	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
DIV_10	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
DIV_13	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
DIV_19	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
DIV_1956	0	0	24	16	Ancestral clade	Div	DIV_1956	divaricatus	NA	40	-77
DIV_4	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
DIV_7	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
DIV_9	0	0	24	16	Ancestral clade	Div	NA	NA	NA	NA	NA
GRO_2043	0	0	24	16	Ancestral clade	Gro	GRO_2043	grosseserratus	NA	45.2	-85.1666
GRO_22	0	0	24	16	Ancestral clade	Gro	NA	NA	NA	NA	NA
HT290_SD1W-20	0	0.0625	24	16	Ancestral clade	Ann	ANN_69	annuus	549	44.50105	-100.0715
HT373_SD1W-4	0	0.0625	24	16	Ancestral clade	Ann	ANN_69	annuus	549	44.50105	-100.0715
HT6_SD1W-21	0	0.0625	24	16	Ancestral clade	Ann	ANN_69	annuus	549	44.50105	-100.0715
P.tenuifolius	0	0	24	16	Ancestral clade	Pho	P.tenuifolius	Phoebanthus	NA	NA	NA
PET0356	0	0.0625	24	16	Ancestral clade	PetFal	PET_06	petiolaris	2110	35.51651	-105.68484
PET0663	0	0	24	16	Ancestral clade	PetCan	PET_37	petiolaris	1250	31.8201	-107.38806
